Open,High,Low,Close,Adj_Close 
749.0,754.6,735.27,746.74,745.46
747.5,765.51,746.4,757.6,756.3
747.83,755.28,725.01,725.72,724.47
731.27,743.28,726.53,742.35,741.07
745.58,760.37,739.05,753.98,752.68
747.66,766.6,744.25,766.6,765.28
761.95,789.29,760.49,785.41,784.06
778.71,809.25,778.71,808.17,806.78
807.24,816.15,800.11,804.99,803.61
806.99,809.12,799.0,804.08,802.7
808.41,824.62,805.0,823.23,821.81
823.0,827.35,811.03,811.08,809.68
804.27,817.96,801.75,810.43,809.04
811.05,829.04,805.94,826.07,824.65
835.15,846.9,831.06,842.18,840.73
839.52,887.74,835.61,870.37,868.87
876.53,889.36,869.62,878.31,876.8
877.73,880.0,859.37,868.88,867.39
867.03,874.19,860.5,865.0,863.51
856.93,877.78,856.11,872.97,871.47
877.07,883.5,867.8,871.86,870.36
869.1,873.5,841.49,844.27,844.27
856.42,862.73,851.36,857.2,857.2
857.18,881.33,857.18,867.05,867.05
866.84,880.32,864.0,873.12,873.12
880.62,894.4,873.43,873.68,873.68
879.29,893.11,870.02,881.4,881.4
890.74,912.0,890.74,901.8,901.8
898.37,922.43,896.6,915.01,915.01
915.72,925.5,904.06,905.16,905.16
901.84,921.22,892.61,920.63,920.63
912.8,935.63,910.0,929.72,929.72
922.24,929.16,902.79,911.06,911.06
904.8,930.49,901.64,929.72,929.72
920.42,931.38,898.28,912.76,912.76
905.39,908.0,861.39,869.58,869.58
853.91,863.19,825.78,829.76,829.76
827.2,832.35,811.64,824.06,824.06
814.95,834.65,813.26,821.86,821.86
818.24,821.11,795.38,801.65,801.65
803.11,815.21,800.0,813.48,813.48
816.95,829.0,814.57,824.76,824.76
833.42,836.29,812.62,822.51,822.51
821.72,842.13,819.5,837.01,837.01
839.03,854.39,832.46,842.57,842.57
837.8,850.43,825.32,837.57,837.57
845.32,866.87,837.76,864.9,864.9
869.55,874.92,847.92,852.35,852.35
845.69,851.41,826.4,826.76,826.76
822.82,826.77,815.29,821.67,821.67
820.0,829.78,817.43,822.51,822.51
808.98,828.01,789.4,825.91,825.91
818.6,820.66,797.0,805.23,805.23
795.04,819.85,795.04,818.22,818.22
810.51,818.79,787.06,789.09,789.09
762.11,768.27,734.7,738.21,738.21
697.93,748.0,677.09,723.73,723.73
754.98,763.5,713.28,726.24,726.24
704.4,754.83,689.0,753.71,753.71
738.9,741.95,691.77,720.91,720.91
722.89,735.84,711.98,732.41,732.41
750.45,759.56,734.52,754.35,754.35
755.57,765.31,751.49,757.18,757.18
755.64,756.3,730.34,734.9,734.9
840.8,858.0,821.84,839.96,839.96
841.51,843.91,807.0,818.02,818.02
821.88,832.0,814.0,827.54,827.54
