Date,Open,High,Low,Close ,Adj Close ,Volume
Sep 24 2024,922.12,925.68,909.20,924.43,921.31,2767400
Sep 23 2024,921.00,922.00,909.45,918.52,915.42,2292000
Sep 20 2024,921.99,939.86,913.20,921.49,918.38,9921800
Sep 19 2024,912.85,916.81,903.86,915.04,911.96,2446500
Sep 18 2024,906.31,915.50,903.46,904.97,901.92,1777000
Sep 17 2024,921.50,921.50,902.30,906.18,903.13,2248000
Sep 16 2024,931.13,932.61,920.43,923.54,920.43,1760300
Sep 13 2024,937.01,942.35,922.10,923.71,920.60,2045400
Sep 12 2024,924.31,937.62,918.63,935.02,931.87,2511800
Sep 11 2024,902.15,921.54,897.20,920.89,917.79,2721100
Sep 10 2024,914.11,915.11,895.00,901.25,898.21,1930400
Sep 9 2024,912.57,915.43,895.92,908.27,905.21,2405900
Sep 6 2024,917.76,927.90,893.00,902.71,899.67,3440000
Sep 5 2024,941.16,943.00,906.17,912.75,909.67,3201100
Sep 4 2024,949.75,954.00,938.01,946.31,943.12,1891700
Sep 3 2024,957.77,969.65,951.58,956.53,953.31,2529400
Aug 30 2024,945.00,961.00,940.51,960.02,956.78,2555100
Aug 29 2024,955.00,957.52,936.00,940.20,937.03,1762800
Aug 28 2024,954.15,958.34,943.26,948.94,945.74,1701800
Aug 27 2024,952.50,972.48,949.95,954.48,951.26,2912900
Aug 26 2024,949.20,955.00,942.77,950.53,947.33,2166000
Aug 23 2024,955.44,960.50,943.11,952.74,949.53,2063300
Aug 22 2024,951.98,972.53,948.14,954.17,950.95,3183700
Aug 21 2024,955.62,956.50,939.17,951.97,948.76,2617000
Aug 20 2024,932.10,967.00,930.51,949.97,946.77,4961500
Aug 19 2024,922.12,926.00,916.50,921.81,918.70,2374600
Aug 16 2024,928.39,936.30,919.39,922.12,919.01,2364900
Aug 15 2024,936.00,937.96,920.00,931.58,928.44,3080000
Aug 14 2024,910.00,934.38,903.79,931.68,927.24,3562900
Aug 13 2024,894.08,914.69,890.33,908.05,903.73,3506800
Aug 12 2024,904.21,904.72,883.00,884.38,880.17,4206100
Aug 9 2024,860.00,908.49,860.00,891.68,887.43,6587600
Aug 8 2024,875.00,877.78,825.24,845.31,841.28,9434900
Aug 7 2024,778.30,786.58,763.02,772.14,768.46,4407700
Aug 6 2024,789.14,806.27,785.00,793.18,789.40,3437600
Aug 5 2024,758.00,792.94,747.55,775.26,771.57,4661800
Aug 2 2024,816.67,820.19,787.02,804.46,800.63,3515900
Aug 1 2024,833.62,840.89,820.18,832.44,828.48,4060700
Jul 31 2024,800.17,811.14,792.09,804.27,800.44,2961700
Jul 30 2024,815.18,821.90,775.81,790.21,786.45,3848600
Jul 29 2024,814.01,824.77,804.00,807.79,803.94,2473700
Jul 26 2024,811.87,822.01,801.30,804.62,800.79,4173900
Jul 25 2024,847.00,851.62,806.38,821.19,817.28,5468000
Jul 24 2024,872.50,878.34,854.27,859.88,855.79,2726100
Jul 23 2024,870.00,887.72,864.08,878.29,874.11,2087700
Jul 22 2024,864.80,874.42,856.82,865.97,861.85,2904500
Jul 19 2024,867.66,880.21,853.00,857.47,853.39,3782200
Jul 18 2024,907.03,909.87,836.66,848.90,844.86,7649600
Jul 17 2024,910.01,925.00,902.64,905.59,901.28,4200600
Jul 16 2024,955.75,956.39,938.38,941.60,937.12,2111800
Jul 15 2024,956.20,966.10,948.09,950.46,945.93,2358700
Jul 12 2024,937.00,950.79,936.03,948.40,943.88,2315100
Jul 11 2024,934.09,942.88,918.62,934.14,929.69,2855100
Jul 10 2024,936.57,945.69,933.00,939.78,935.31,2683300
Jul 9 2024,929.05,935.00,920.78,932.50,928.06,2416000
Jul 8 2024,917.89,928.61,912.00,918.00,913.63,2364600
Jul 5 2024,898.43,916.46,896.90,914.57,910.22,2880900
Jul 3 2024,911.00,918.50,884.00,898.10,893.82,3078400
Jul 2 2024,902.71,912.00,878.50,906.71,902.39,4584600
Jul 1 2024,911.77,916.83,904.31,914.37,910.02,2546100
Jun 28 2024,911.31,915.54,905.38,905.38,901.07,3375400
Jun 27 2024,903.53,909.57,899.72,909.04,904.71,1948100
Jun 26 2024,904.00,906.35,897.84,901.26,896.97,2232100
Jun 25 2024,891.77,909.42,891.50,904.61,900.30,2839800
Jun 24 2024,889.98,903.58,882.94,890.11,885.87,2878200
Jun 21 2024,885.66,891.97,879.80,883.88,879.67,3448700
Jun 20 2024,893.00,905.45,870.13,885.99,881.77,3360000
Jun 18 2024,887.00,894.87,884.00,891.46,887.22,2437000
Jun 17 2024,878.00,892.20,876.86,885.01,880.80,2532200
Jun 14 2024,882.33,884.61,876.00,878.45,874.27,2023300
Jun 13 2024,869.03,885.06,861.50,883.33,879.12,2243400
Jun 12 2024,872.00,872.00,853.85,867.30,863.17,2594600
