Date,Open,High,Low,Close,Adj_Close,Volume
Sep 12 2024,924.31,937.62,918.63,935.02,929.96,2511800
Sep 13 2024,937.01,942.35,922.1,923.71,918.71,2045400
Sep 16 2024,931.13,932.61,920.43,923.54,918.54,1760300
Sep 17 2024,921.5,921.5,902.3,906.18,901.28,2248000
Sep 18 2024,906.31,915.5,903.46,904.97,900.07,1777000
Sep 19 2024,912.85,916.81,903.86,915.04,910.09,2446500
Sep 20 2024,921.99,939.86,913.2,921.49,916.51,9921800
Sep 23 2024,921.0,922.0,909.45,918.52,913.55,2292000
Sep 24 2024,922.12,925.68,909.2,924.43,919.43,2767400
Sep 25 2024,931.79,939.3,921.19,924.56,919.56,1805100
Sep 26 2024,920.26,921.85,905.3,909.32,904.4,2693000
Sep 27 2024,893.62,901.21,875.61,877.79,873.04,4377300
Sep 30 2024,864.52,887.43,858.81,885.94,881.15,3244600
Oct 1 2024,888.83,891.27,878.87,884.48,879.7,2455200
Oct 2 2024,880.0,893.35,878.7,891.07,886.25,1751600
Oct 3 2024,889.54,892.0,880.88,885.55,880.76,1974700
Oct 4 2024,885.91,888.97,876.89,887.16,882.36,1970500
Oct 7 2024,890.51,905.28,889.57,898.4,893.54,2915700
Oct 8 2024,903.0,921.97,902.23,913.72,908.78,2200000
Oct 9 2024,916.29,921.35,912.0,919.74,914.76,1820100
Oct 10 2024,920.0,922.0,905.15,910.69,905.76,1682100
Oct 11 2024,916.04,932.24,911.18,932.06,927.02,2293900
Oct 14 2024,936.0,937.0,926.0,929.51,924.48,1550400
Oct 15 2024,924.44,926.52,907.8,913.32,908.38,2284200
Oct 16 2024,910.03,917.81,897.84,916.42,911.46,1645400
Oct 17 2024,921.0,930.51,916.04,917.12,912.16,2191200
Oct 18 2024,917.18,920.92,905.62,917.97,913.0,2286900
Oct 21 2024,917.98,918.86,904.56,906.13,901.23,1592200
Oct 22 2024,901.68,911.12,900.2,909.15,904.23,1391800
Oct 23 2024,905.62,907.95,891.73,903.25,898.36,2646600
Oct 24 2024,898.33,900.0,888.28,891.32,886.5,1797100
Oct 25 2024,899.73,900.96,889.45,892.7,887.87,2228300
Oct 28 2024,894.87,898.21,890.78,895.59,890.75,2084100
Oct 29 2024,898.21,907.98,898.21,903.58,898.69,3187500
Oct 30 2024,798.5,860.5,769.0,846.83,842.25,18257200
Oct 31 2024,836.51,853.5,825.24,829.74,825.25,6582800
Nov 1 2024,828.0,833.0,816.73,818.93,814.5,5266300
Nov 4 2024,805.0,820.19,803.68,806.14,801.78,3918100
Nov 5 2024,803.83,809.21,797.49,806.06,801.7,3733300
Nov 6 2024,817.33,820.73,767.61,776.38,772.18,8257900
Nov 7 2024,784.65,802.55,778.19,797.45,793.14,4557600
Nov 8 2024,803.5,847.27,801.26,831.54,827.04,7212900
Nov 11 2024,831.3,844.0,824.63,832.44,827.94,3342800
Nov 12 2024,830.2,833.99,810.72,818.86,814.43,3378600
Nov 13 2024,820.32,829.11,811.29,811.81,807.42,3059300
Nov 14 2024,809.19,809.19,783.51,786.23,781.98,3998800
Nov 15 2024,775.19,777.98,744.2,746.2,743.39,7334600
Nov 18 2024,733.19,734.0,711.4,727.2,724.46,9154400
Nov 19 2024,716.31,730.0,712.42,729.73,726.98,5832500
Nov 20 2024,735.79,757.37,735.46,753.41,750.58,5158900
Nov 21 2024,746.12,753.0,735.0,749.92,747.1,4143200
Nov 22 2024,757.05,761.28,745.08,748.01,745.2,4015500
Nov 25 2024,750.0,755.0,740.01,755.0,752.16,5690500
Nov 26 2024,785.2,807.0,773.95,789.32,786.35,6622600
Nov 27 2024,788.12,794.83,780.3,788.19,785.22,2714700
Nov 29 2024,791.33,800.33,789.33,795.35,792.36,2206900
Dec 2 2024,798.11,805.35,795.22,799.8,796.79,2895600
Dec 3 2024,802.93,817.13,801.61,813.33,810.27,2782100
Dec 4 2024,828.1,846.46,820.5,829.84,826.72,3871100
Dec 5 2024,827.78,831.13,817.46,825.62,822.51,2423400
Dec 6 2024,827.68,841.0,825.69,826.71,823.6,3047100
Dec 9 2024,823.7,823.7,801.28,803.58,800.56,3176000
Dec 10 2024,809.27,814.0,797.0,799.58,796.57,2695200
Dec 11 2024,795.25,799.5,786.37,796.03,793.03,3510900
Dec 12 2024,796.73,801.84,778.39,782.35,779.41,2823800
Dec 13 2024,777.13,794.25,772.99,789.12,786.15,3059400
Dec 16 2024,792.0,799.78,775.25,779.0,776.07,3426200
Dec 17 2024,777.86,788.0,772.43,778.62,775.69,3924800
Dec 18 2024,775.0,779.0,762.5,764.71,761.83,3354200
Dec 19 2024,765.1,772.97,752.4,757.54,754.69,4032600
Dec 20 2024,811.35,811.35,766.61,767.76,764.87,9942300
Dec 23 2024,785.17,799.36,773.07,796.28,793.28,3622300
Dec 24 2024,791.37,797.75,787.1,795.67,792.68,1165400
Dec 26 2024,794.12,803.91,791.5,794.14,791.15,1274200
Dec 27 2024,790.0,793.3,779.22,783.17,780.22,2096500
Dec 30 2024,777.92,779.76,771.0,773.84,770.93,1719100
Dec 31 2024,771.0,773.91,764.3,772.0,769.1,2327000
Jan 2 2025,780.59,787.0,771.77,778.07,775.14,1938900
Jan 3 2025,778.17,785.84,775.53,781.98,779.04,1799100
Jan 6 2025,783.72,784.77,763.35,765.1,762.22,3991100
Jan 7 2025,764.9,783.96,761.62,773.29,770.38,3576100
Jan 8 2025,773.83,792.56,770.67,787.22,784.26,3478400
Jan 10 2025,791.93,800.0,784.86,799.9,796.89,3973100
Jan 13 2025,794.4,805.34,783.61,797.48,794.48,3683800
Jan 14 2025,784.23,784.23,729.0,744.91,742.11,10373000
Jan 15 2025,749.0,754.6,735.27,746.74,743.93,5736900
Jan 16 2025,747.5,765.51,746.4,757.6,754.75,3070300
Jan 17 2025,747.83,755.28,725.01,725.72,722.99,5560100
Jan 21 2025,731.27,743.28,726.53,742.35,739.56,5122800
Jan 22 2025,745.58,760.37,739.05,753.98,751.14,3737800
Jan 23 2025,747.66,766.6,744.25,766.6,763.72,3127200
Jan 24 2025,761.95,789.29,760.49,785.41,782.45,4170600
Jan 27 2025,778.71,809.25,778.71,808.17,805.13,3915200
Jan 28 2025,807.24,816.15,800.11,804.99,801.96,2808800
Jan 29 2025,806.99,809.12,799.0,804.08,801.05,1827600
Jan 30 2025,808.41,824.62,805.0,823.23,820.13,2643000
Jan 31 2025,823.0,827.35,811.03,811.08,808.03,2562600
Feb 3 2025,804.27,817.96,801.75,810.43,807.38,2808800
